DEBUG main org.apache.htrace.core.Tracer - sampler.classes = ; loaded no samplers
DEBUG main org.apache.htrace.core.Tracer - span.receiver.classes = ; loaded no span receivers
DEBUG main org.apache.htrace.core.Tracer - sampler.classes = ; loaded no samplers
DEBUG main org.apache.htrace.core.Tracer - span.receiver.classes = ; loaded no span receivers
DEBUG main org.apache.htrace.core.Tracer - sampler.classes = ; loaded no samplers
DEBUG main org.apache.htrace.core.Tracer - span.receiver.classes = ; loaded no span receivers
DEBUG main org.apache.htrace.core.Tracer - sampler.classes = ; loaded no samplers
DEBUG main org.apache.htrace.core.Tracer - span.receiver.classes = ; loaded no span receivers
DEBUG main org.apache.htrace.core.Tracer - sampler.classes = ; loaded no samplers
DEBUG main org.apache.htrace.core.Tracer - span.receiver.classes = ; loaded no span receivers
DEBUG main org.apache.htrace.core.Tracer - sampler.classes = ; loaded no samplers
DEBUG main org.apache.htrace.core.Tracer - span.receiver.classes = ; loaded no span receivers
DEBUG main org.apache.htrace.core.Tracer - sampler.classes = ; loaded no samplers
DEBUG main org.apache.htrace.core.Tracer - span.receiver.classes = ; loaded no span receivers
DEBUG main org.apache.htrace.core.Tracer - sampler.classes = ; loaded no samplers
DEBUG main org.apache.htrace.core.Tracer - span.receiver.classes = ; loaded no span receivers
DEBUG main org.apache.htrace.core.Tracer - sampler.classes = ; loaded no samplers
DEBUG main org.apache.htrace.core.Tracer - span.receiver.classes = ; loaded no span receivers
DEBUG main org.apache.htrace.core.Tracer - sampler.classes = ; loaded no samplers
DEBUG main org.apache.htrace.core.Tracer - span.receiver.classes = ; loaded no span receivers
DEBUG main org.apache.htrace.core.Tracer - sampler.classes = ; loaded no samplers
DEBUG main org.apache.htrace.core.Tracer - span.receiver.classes = ; loaded no span receivers
DEBUG main org.apache.htrace.core.Tracer - sampler.classes = ; loaded no samplers
DEBUG main org.apache.htrace.core.Tracer - span.receiver.classes = ; loaded no span receivers
DEBUG main org.apache.htrace.core.Tracer - sampler.classes = ; loaded no samplers
DEBUG main org.apache.htrace.core.Tracer - span.receiver.classes = ; loaded no span receivers
DEBUG main org.apache.htrace.core.Tracer - sampler.classes = ; loaded no samplers
DEBUG main org.apache.htrace.core.Tracer - span.receiver.classes = ; loaded no span receivers
DEBUG main org.apache.htrace.core.Tracer - sampler.classes = ; loaded no samplers
DEBUG main org.apache.htrace.core.Tracer - span.receiver.classes = ; loaded no span receivers
